"","Alytes_obstetricans","Discoglossus_sardus","Bombina_variegata","Epidalea_calamita","Hyla_arborea","Hyla_meridionalis","Hyla_sarda","Pelobates_cultripes","Pelobates_fuscus","Pelophylax_lessonae","Rana_arvalis","Rana_dalmatina","Rana_pyrenaica","Calotriton_asper","Lissotriton_vulgaris","Salamandra_lanzai","Triturus_cristatus","Triturus_marmoratus","Salamandra_atra","Coronella_austriaca","Hierophis_viridiflavus","Zamenis_longissimus","Algyroides_fitzingeri","Archaeolacerta_bedriagae","Lacerta_bilineata","Podarcis_muralis","Podarcis_tiliguerta","Timon_lepidus","Natrix_maura","Euleptes_europaea","Vipera_aspis","Discoglossus_montalentii","Pelophylax_grafi","Pelophylax_perezi","Speleomantes_strinatii","Euproctus_montanus","Salamandra_corsica","Iberolacerta_aranica","Iberolacerta_aurelioi","Iberolacerta_bonnali","Lacerta_agilis","Vipera_berus","Vipera_seoanei","Vipera_ursinii","Emys_orbicularis","Mauremys_leprosa","Testudo_hermanni","Zootoca_vivipara","Natrix_natrix"
"Alytes_obstetricans",0.0384678158944718,0.384066294346789,0.382770881367413,0.41337530106935,0.337679160181955,0.391657260816033,0.359602149184043,0.450655235293691,0.358050816932622,0.376912033226892,0.36790233750566,0.330559387262924,0.405236838802716,0.430095722333494,0.356352909065161,0.390365487009943,0.323417622267936,0.320263322980883,0.411378925596908,0.468508484852397,0.437385059346517,0.42830598224581,0.449508595639577,0.444474529387817,0.425007438115117,0.300460656129329,0.466558848011833,0.517794553809424,0.48522027577975,0.417977401370655,0.483967281245763,0.374918644964979,0.400062445771219,0.404213713767488,0.434602188840309,0.423087200634949,0.399275998691992,0.451697747962098,0.468869323169598,0.459112935771422,0.465815116865579,0.425336772806273,0.422926958627732,0.468174370990029,0.466442460136725,0.480414075706318,0.499816816023064,0.380281868159127,0.423160568478439
"Discoglossus_sardus",0.526585873603549,0.0419512118923743,0.465127973439334,0.546863441527828,0.47897114582788,0.404011014215808,0.412472555688045,0.39028311046958,0.526799336125698,0.499685285601768,0.439309737345317,0.480607601992982,0.542725512396368,0.444122794552456,0.56009399260685,0.597770182655112,0.608716828219518,0.491119092706533,0.590974714138783,0.599716659785181,0.510835657360883,0.607413988257883,0.285927720030204,0.445489623262371,0.486265559740733,0.47348372589639,0.332114768751961,0.414013299782957,0.493781082201341,0.36871872312956,0.474484115226904,0.370594808746164,0.353794148918248,0.36019452042319,0.394220456082752,0.428566542416268,0.507116932459245,0.54327544571446,0.533449954109758,0.578369835127657,0.561703391408499,0.544333272748536,0.53484875825901,0.560772660207382,0.504533984089912,0.536126973967048,0.446200445606395,0.408178166001722,0.536741147906175
"Bombina_variegata",0.422822813193973,0.458656780216726,0.0386136277157067,0.450595232473862,0.3399954486472,0.559682149040138,0.560454003980781,0.506837816654845,0.42457604427525,0.548637900832217,0.360751479757349,0.477223492212133,0.425315905100252,0.488222170446562,0.443483087592472,0.506139520028211,0.448026078520174,0.409120556422478,0.431711690383841,0.49164598416008,0.549074464735427,0.500484035919302,0.44556717790459,0.480289692594597,0.54937128248726,0.447379558684389,0.485368053731349,0.564347133086714,0.56607688466738,0.521041544829767,0.53986731769537,0.408047752275241,0.554423218389911,0.557815147249739,0.513216291150299,0.472433771014847,0.48381442351098,0.480134884548569,0.448185869733078,0.441561171396767,0.361291200473282,0.588340849269932,0.543301766791449,0.480253756775904,0.56178214052453,0.559179909904251,0.574613674210125,0.374639796741972,0.455974492917167
"Epidalea_calamita",0.428279767083622,0.608804769793386,0.48840969518582,0.0350791541976386,0.458941803424887,0.402340361022159,0.4186517638955,0.338365889891446,0.407022954398948,0.398079636484825,0.405365160593788,0.458439655483246,0.574357307048925,0.624366363765881,0.3434330446815,0.583039140338669,0.39550823521945,0.462292114423759,0.460963808223191,0.470972328263084,0.468771412164552,0.334708641188428,0.550820453947526,0.592934114760992,0.468856166261325,0.411102631289423,0.573717541346859,0.494485079963474,0.385832874062701,0.552682755922722,0.527049170855576,0.590454833453053,0.354186636230769,0.329959057200776,0.538906628786693,0.582276054111479,0.624995811652365,0.564559092296102,0.546156988182191,0.555323549011599,0.401797480374694,0.453364375401836,0.662502808154497,0.618721733665132,0.410588642034442,0.433535181730584,0.449441130170995,0.530154658853567,0.436642247940793
"Hyla_arborea",0.488153742750138,0.496210095379364,0.356175080459465,0.433590975851229,0.0386136277157067,0.428336414023692,0.422328714853591,0.47152928077686,0.375651561055412,0.451546624803857,0.31895370533117,0.317453095293163,0.486414360435906,0.582355254658666,0.398030952041225,0.511969926643847,0.404724051140444,0.357535182303383,0.504666043181811,0.55954455223607,0.551854682650101,0.549069988636615,0.521678486184024,0.526330745047327,0.577839170987358,0.491254198337361,0.545321914696485,0.617358517979033,0.560463835664395,0.489881181761722,0.57243374660748,0.467198227864362,0.570688995648875,0.561058405894299,0.546024144251032,0.577571131594241,0.522746877182182,0.549375947807382,0.537077117465494,0.562031627057604,0.522105983308749,0.54537411799792,0.555165663390347,0.53155464165599,0.601041049717337,0.484254980732186,0.573130092572645,0.495387327180936,0.561497003273197
"Hyla_meridionalis",0.384242435933988,0.391247556114573,0.528300315927971,0.315920961879138,0.362672667971876,0.0485910778280485,0.310207734265348,0.355645267395475,0.338123355670699,0.347516561895245,0.364796238880312,0.334655171088431,0.587062085838428,0.572468465146957,0.392476566240797,0.595916578915517,0.45382986838713,0.408303457892834,0.524605397984249,0.48073364821628,0.379337511350889,0.412414436817479,0.423312262262615,0.473082458660103,0.416068533255961,0.383008547838276,0.43905400587692,0.341012356553621,0.372800186714782,0.410693697359039,0.53463943200271,0.390539957754811,0.375469542024255,0.361573792483103,0.490625336229954,0.507215867053515,0.53572181317263,0.549587257797748,0.509996042195179,0.530189103978385,0.462615875763008,0.433926774925656,0.596849605899009,0.606801047370471,0.456580489201958,0.348793323218489,0.408631095387617,0.416476683305242,0.435314969338038
"Hyla_sarda",0.504593554509339,0.392761519067542,0.634608785782873,0.391458450446703,0.428990588821825,0.370677783830079,0.0324440445433797,0.391076373426657,0.482083785656972,0.517406074704664,0.568754240263517,0.578746730655378,0.579457979728512,0.579743564798555,0.516167732725264,0.621290431172321,0.579172787963992,0.592970370417245,0.475482577295563,0.555242227948198,0.569801182205407,0.547277520085586,0.326856376541035,0.532725733803755,0.567793710410549,0.472793358683094,0.366668705889907,0.45925997768997,0.42470565501659,0.45252643141669,0.588966962479277,0.485454523094252,0.396580471045725,0.392334272663479,0.532487053522299,0.548435089450679,0.597205807131961,0.609237439179363,0.582343719191375,0.546466922068948,0.598943642804023,0.462613481618697,0.594974194593722,0.654167798460029,0.486990121874111,0.52785185927414,0.39474848358931,0.567448598299065,0.63345849639578
"Pelobates_cultripes",0.612916705018006,0.48870025419836,0.598719725455092,0.368736972001067,0.547270377495401,0.464059601265892,0.451001956768863,0.0386136277157067,0.364486439617503,0.520519309244606,0.534807990962892,0.566601351293559,0.672707152542705,0.584640237669824,0.478085242327481,0.603690697034452,0.515732425280596,0.551801843865727,0.463964409797234,0.618920516498916,0.534728260383339,0.523869393196567,0.520917614700731,0.632701441302683,0.514442383894953,0.59946408082046,0.521368634692291,0.477987045018064,0.485818456774225,0.574210175897249,0.601139072206879,0.559005031350561,0.267575809126953,0.332017367405956,0.542606587660846,0.579557912829877,0.631180525936276,0.699944167481582,0.618875673055754,0.632546375775015,0.551576465307009,0.57596175654454,0.727620795359103,0.653628541282901,0.469891513833324,0.425611283825927,0.430675042855994,0.612348711150976,0.569643228333182
"Pelobates_fuscus",0.58950779638012,0.574542015778966,0.526255521384558,0.400135931057035,0.4131236868854,0.468344721197315,0.548272629997382,0.369956779775228,0.0474273711023853,0.378096396591649,0.399590780690117,0.443615768134646,0.671410935645383,0.630187978827664,0.389324155348255,0.570363727226605,0.411067182970776,0.516782930330975,0.482942496200075,0.671330478264512,0.606958339180791,0.570117355751925,0.634750317581915,0.641276496338532,0.653984735041677,0.603913346069088,0.666817601718457,0.634629334772584,0.601740344571765,0.622019489587045,0.71415216392237,0.602560773276938,0.432869526349142,0.433258298348967,0.654664570299738,0.62624849525314,0.706891212700489,0.659186561597539,0.595165155222799,0.615389053273205,0.509893686522026,0.599974642470063,0.690747293427093,0.671389662887983,0.543371859861018,0.490165164242542,0.559315367274896,0.678741782013381,0.614597429851876
"Pelophylax_lessonae",0.449909189933273,0.518505136532701,0.518966780841021,0.392993237591407,0.443350726635686,0.42514820312481,0.48470878553444,0.457817580048363,0.394837623037336,0.0178284151894244,0.319075772442035,0.316475116439216,0.516702782163655,0.502746083390273,0.300447131865068,0.622718330935767,0.368381453088039,0.367228478148462,0.463095528456797,0.45860975569506,0.489707017948975,0.475295540697843,0.567810616848584,0.542693202655995,0.489605510624301,0.497489079001566,0.584740040860417,0.419785948442861,0.493334720338113,0.549636473533466,0.533086087878639,0.532808785689721,0.373913172609012,0.329474747652746,0.553579746780051,0.517872898732688,0.582438382174937,0.5346123564992,0.519149839466524,0.560120244672597,0.410375004257444,0.424907431026741,0.523604550165276,0.592084860686302,0.441352227240768,0.406094393261271,0.461504717320672,0.50754357941086,0.441825027532585
